CourseID,CourseName,Unit,ReviewNumber,AvgStar,Level,Description
818,The Data Scientist’s Toolbox,Johns Hopkins University,33837,4.6,,"Set up R, R-Studio, Github and other useful tools
Understand the data, problems, and tools that data analysts use
Explain essential study design concepts
Create a Github repository
"
788,Statistical Modeling for Data Science Applications Specialization,University of Colorado Boulder,29,4.2,Intermediate level,"Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.
Successfully conduct experiments based on best practices in experimental design.
Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships.
"
851,Use Tableau for Your Data Science Workflow Specialization,"University of California, Irvine",17,4.0,Beginner level,"Explain fundamental concepts behind visualizations.
Setup and perform data analysis using industry-standard models.
Create a Tableau dashboard implementing major tasks of analytics deployment: define business goals, prepare data, select, model, and present results.
"
314,DeepLearning.AI TensorFlow Developer Professional Certificate,DeepLearning.AI,21173,4.7,Intermediate level,"Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications.
Handle real-world image data and explore strategies to prevent overfitting, including augmentation and dropout.
Build natural language processing systems using TensorFlow.
Apply RNNs, GRUs, and LSTMs as you train them using text repositories.
"
70,Applied Machine Learning in Python,University of Michigan,8464,4.6,Intermediate level,"Describe how machine learning is different than descriptive statistics
Create and evaluate data clusters
Explain different approaches for creating predictive models
Build features that meet analysis needs
"
297,Databases and SQL for Data Science with Python,IBM,19323,4.6,Beginner level,"Analyze data within a database using SQL and Python.
Create a relational database and work with multiple tables using DDL commands. 
Construct basic to intermediate level SQL queries using DML commands. 
Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. 
"
311,Deep Neural Networks with PyTorch,IBM,1577,4.4,Intermediate level,"Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. 
Explain and apply knowledge of Deep Neural Networks and related machine learning methods.
Describe how to use Python libraries such as PyTorch for Deep Learning applications.
Build Deep Neural Networks using PyTorch.
"
196,Data Analysis Using Pyspark,Coursera Project Network,282,4.5,Intermediate level,"Learn how to setup the google colab for distributed data processing 
Learn applying different queries to your dataset to extract useful Information
Learn how to visualize this information using matplotlib
"
845,Understanding and Visualizing Data with Python,University of Michigan,2593,4.7,Beginner level,"Properly identify various data types and understand the different uses for each  
Create data visualizations and numerical summaries with Python
Communicate statistical ideas clearly and concisely to a broad audience
Identify appropriate analytic techniques for probability and non-probability samples
"
444,HR Analytics- Build an HR dashboard using Power BI,Coursera Project Network,238,4.6,Beginner level,"Build an attractive and eye-catching HR dashboard
Visualize gender & racial diversity using graphs & charts in Power BI
Explore buttons, themes, filters & slicers to make the dashboard interactive & smart
"
589,Machine Learning: Theory and Hands-on Practice with Python Specialization,University of Colorado Boulder,44,3.7,Intermediate level,"Explore several classic Supervised and Unsupervised Learning algorithms and introductory Deep Learning topics.  
Build and evaluate Machine Learning models utilizing popular Python libraries and compare each algorithm’s strengths and weaknesses.
Explain which Machine Learning models would be best to apply to a Machine Learning task based on the data’s properties.
Improve model performance by tuning hyperparameters and applying various techniques such as sampling and regularization.
"
535,Julia for Beginners in Data Science,Coursera Project Network,48,4.4,Beginner level,"Learn how to clean data.
Learn how to do exploratory data analysis.
Learn about different types of joins.
"
643,Neuroscience and Neuroimaging Specialization,Johns Hopkins University,910,4.7,Intermediate level,"Learn about fMRI data design, structure and acquisition.
Familiarize yourself with fMRI Artifacts and types of noise.
Learn how to read/write images of the brain in NIfTI format.
Learn about Magnetic Resonance Spectroscopy.
"
543,Linear Algebra from Elementary to Advanced Specialization,Johns Hopkins University,39,4.8,Beginner level,
254,Data Science as a Field,University of Colorado Boulder,29,4.3,Intermediate level,"By taking this course, you will be able explain what data science is and identify the key disciplines involved.
You will be able to use the steps of the data science process to create a reproducible data analysis and identify personal biases.
You will be able to identify interesting data science applications, locate jobs in Data Science, and begin developing a professional network.
"
627,NLP: Twitter Sentiment Analysis,Coursera Project Network,354,4.6,Beginner level,"Create a pipeline to remove stop-words, punctuation, and perform tokenization    
Understand the theory and intuition behind Naive Bayes classifiers   
Train a Naive Bayes Classifier and assess its performance   
"
800,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,18504,4.9,Beginner level,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn
Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression
"
561,MLOps | Machine Learning Operations Specialization,Duke University,120,3.9,Advanced level,"Master Python fundamentals, MLOps principles, and data management to build and deploy ML models in production environments.
Utilize Amazon Sagemaker / AWS, Azure, MLflow, and Hugging Face for end-to-end ML solutions, pipeline creation, and API development.
Fine-tune and deploy Large Language Models (LLMs) and containerized models using the ONNX format with Hugging Face.
Design a full MLOps pipeline with MLflow, managing projects, models, and tracking system features.
"
270,Data Visualization and Communication with Tableau,Duke University,3188,4.7,,
222,Data Ecosystem,Tableau Learning Partner,46,4.7,Beginner level," Describe the purpose and applications of tabular data, databases, data warehouses, data lakes, and ETLs. 
 Describe the importance of data quality and data governance in relation to data management. 
 Identify the principles that form the foundation of modern data architecture. 
"
720,R Programming,Johns Hopkins University,22181,4.5,Intermediate level,"Understand critical programming language concepts
Configure statistical programming software
Make use of R loop functions and debugging tools
Collect detailed information using R profiler
"
48,Advanced Machine Learning on Google Cloud Specialization,Google Cloud,1925,4.5,Advanced level,
580,Machine Learning on Google Cloud Specialization,Google Cloud,8457,4.6,Intermediate level,"Use Vertex AI AutoML and BigQuery ML to build, train, and deploy ML models
Implement machine learning models using Keras and TensorFlow 2.x
Implement machine learning in the enterprise best practices
Describe how to perform exploratory data analysis and improve data quality
"
755,SQL: A Practical Introduction for Querying Databases,IBM,252,4.6,Beginner level,"Analyze data within a database using SQL.
Create a relational database on Cloud and work with tables.
Write SQL statements including SELECT, INSERT, UPDATE, and DELETE.
Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins. 
"
436,Google Advanced Data Analytics Professional Certificate,Google,2523,4.8,Advanced level,"Explore the roles of data professionals within an organization 
Create data visualizations and apply statistical methods to investigate data
Build regression and machine learning models to analyze and interpret data
Communicate insights from data analysis to stakeholders
"
422,Get Started with Python,Google,926,4.8,Advanced level,"Explain how Python is used by data professionals 
Explore basic Python building blocks, including syntax and semantics
Understand loops, control statements, and string manipulation
Use data structures to store and organize data 
"
695,Probabilistic Graphical Models Specialization,Stanford University,1269,4.6,Advanced level,
447,Health Data Science Foundation,University of Illinois at Urbana-Champaign,0,0.0,Advanced level,"Machine Learning, Health Data Processing
"
342,Essential Causal Inference Techniques for Data Science,Coursera Project Network,34,4.5,Beginner level,"Learn the limitations of AB testing and why causal inference techniques can be powerful.
Understand the intuition behind and how to implement the four main causal inference techniques in R.
Explore newer methods at the intersection of causal inference and machine learning and implement them in R.
"
726,Regression Analysis: Simplify Complex Data Relationships,Google,293,4.7,Advanced level,"Investigate relationships in datasets
Identify regression model assumptions 
Perform linear and logistic regression using Python
Practice model evaluation and interpretation
"
787,Statistical Inference for Estimation in Data Science,University of Colorado Boulder,61,4.1,Intermediate level,"Identify characteristics of “good” estimators and be able to compare competing estimators.
Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.
Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.
"
763,"Sequences, Time Series and Prediction",DeepLearning.AI,4968,4.7,Intermediate level,"Solve time series and forecasting problems in TensorFlow
Prepare data for time series learning using best practices
Explore how RNNs and ConvNets can be used for predictions
Build a sunspot prediction model using real-world data
"
745,SAS Visual Business Analytics Professional Certificate,SAS,940,4.7,Beginner level,"How to explore data using SAS Visual Analytics
How to create interactive reports using SAS Visual Analytics
How to prepare data using SAS Data Studio
"
710,Python Project for Data Science,IBM,3960,4.5,Intermediate level,"Play the role of a Data Scientist / Data Analyst working on a real project.
Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. 
Apply Python fundamentals, Python data structures, and working with data in Python.
Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.
"
381,Foundations of Business Intelligence,Google,952,4.7,Advanced level,"Understand common careers and industries that use BI
Investigate the impact data can have on business decision-making
Explain the important role that BI professionals have in businesses
Develop a BI project plan 
"
329,"DevOps, DataOps, MLOps",Duke University,49,3.8,Advanced level,"Build operations pipelines using DevOps, DataOps, and MLOps
Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)
Build and deploy machine learning models in a production environment using MLOps tools and platforms.
"
302,"Decisions, Decisions: Dashboards and Reports",Google,550,4.8,Advanced level,"Design BI visualizations
Practice using BI reporting and dashboard tools
Create presentations to share key BI insights with stakeholders
Develop professional materials for your job search
"
306,Deep Learning for Healthcare Specialization,University of Illinois at Urbana-Champaign,34,3.0,Advanced level,
103,Bioconductor for Genomic Data Science,Johns Hopkins University,359,3.8,,
819,The Nuts and Bolts of Machine Learning,Google,273,4.8,Advanced level,"Identify characteristics of the different types of machine learning 
Prepare data for machine learning models 
Build and evaluate supervised and unsupervised learning models using Python
Demonstrate proper model and metric selection for a machine learning algorithm
"
810,TensorFlow 2 for Deep Learning Specialization,Imperial College London,560,4.8,Intermediate level,
36,Advanced Clinical Data Science,University of Colorado System,21,4.8,Intermediate level,
39,Advanced Data Science with IBM Specialization,IBM,2391,4.4,Advanced level,
355,Exploratory Data Analysis for Machine Learning,IBM,1629,4.6,Intermediate level,
709,Python Packages for Data Science,University of Colorado Boulder,32,4.4,Intermediate level,"By successfully completing this course, you will be able to use Python pacakges developed for data science.
You will learn how to use Numpy and Pandas to manipulate data.
You will learn how to use Matplotlib and Seaborn to develop data visualizations.
"
277,Data Visualization with Advanced Excel,PwC,2925,4.8,Beginner level,
635,Natural Language Processing with Probabilistic Models,DeepLearning.AI,1657,4.7,Intermediate level,"Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
"
403,Generative AI Fundamentals Specialization,IBM,245,4.7,Beginner level,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.
Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.
Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.
Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.
"
731,Reinforcement Learning Specialization,University of Alberta,3166,4.8,Intermediate level,"Build a Reinforcement Learning system for sequential decision making.
Understand the space of RL algorithms (Temporal- Difference learning, Monte Carlo, Sarsa, Q-learning, Policy Gradients, Dyna, and more).
Understand how to formalize your task as a Reinforcement Learning problem, and how to begin implementing a solution.  
Understand how RL fits under the broader umbrella of machine learning, and how it complements deep learning, supervised and unsupervised learning 
"
81,AutoML tools for data science,Coursera Project Network,0,0.0,Beginner level,"Learn how to use different AutoML tools for efficient exploratory data analysis.
"
786,Statistical Inference and Hypothesis Testing in Data Science Applications,University of Colorado Boulder,37,4.7,Intermediate level,"Define a composite hypothesis and the level of significance for a test with a composite null hypothesis.
Define a test statistic, level of significance, and the rejection region for a hypothesis test. Give the form of a rejection region.
Perform tests concerning a true population variance.
Compute the sampling distributions for the sample mean and sample minimum of the exponential distribution.
"
574,Machine Learning and Reinforcement Learning in Finance Specialization,New York University,741,3.7,Intermediate level,"Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  
Describe linear regression and classification models and methods of their evaluation  
Explain how Reinforcement Learning is used for stock trading  
Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  
"
391,Fundamentals of Machine Learning for Healthcare,Stanford University,408,4.8,Beginner level,"Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.
Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.
Learn important approaches for leveraging data to train, validate, and test machine learning models.
Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.
"
752,SQL for Data Science,"University of California, Davis",16036,4.6,Beginner level,"Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.
Use SQL commands to filter, sort, and summarize data.
Create an analysis table from multiple queries using the UNION operator.
Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.
"
410,Generative AI: Foundation Models and Platforms,IBM,62,4.8,Beginner level,"Describe the fundamental concepts of generative AI and its core models
Explain the concept of foundation models in generative AI
Explore the capabilities of pre-trained models for AI-powered applications. 
Explore the features, capabilities, and applications of different generative AI platforms, such as IBM watsonx and Hugging Face
"
446,Harnessing the Power of Data with Power BI,Microsoft,541,4.5,Beginner level,"How to recognize and use the key data analysis components of Microsoft Power BI.
Understand a Power BI data analyst's skills, tasks, and tools. 
Describe the different stages in the data analysis process that result in data-driven decisions. 
"
612,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,Microsoft,451,4.6,Beginner level,"You will learn about the types of solutions AI makes possible, and the services on Microsoft Azure that you can use to create them.
"
751,SQL for Beginners: Querying Data,Coursera Project Network,38,4.5,Intermediate level,"Use SELECT Statements to select columns of datasets  
Apply conditions to a SQL query using the WHERE clause  
Group a dataset by one or more columns.with the GROUP BY clause
"
533,Introduction to Widgets for Data Science,Coursera Project Network,0,0.0,Beginner level,"Learn basic widgets, combining them and using them in dashboards for analysis
"
109,Build Dashboards in Power BI,Coursera Project Network,157,4.3,Intermediate level,"Build a Dashboard in Power BI by building a report and visuals.
Build a report with visuals.
Create a dashboard and pin visuals.
"
523,Introduction to R Programming for Data Science,IBM,422,4.5,Beginner level,"Manipulate primitive data types in the R programming language using RStudio or Jupyter Notebooks.
Control program flow with conditions and loops, write functions, perform character string operations, write regular expressions, handle errors. 
Construct and manipulate R data structures, including vectors, factors, lists, and data frames.
Read, write, and save data files and scrape web pages using R. 
"
696,Probability Theory: Foundation for Data Science,University of Colorado Boulder,152,4.5,Intermediate level,"Explain why probability is important to statistics and data science.
See the relationship between conditional and independent events in a statistical experiment.
Calculate the expectation and variance of several random variables and develop some intuition.
"
416,Genomic Data Science Specialization,Johns Hopkins University,5444,4.4,Intermediate level,"Next generation sequencing experiments
Genomic technologies
DNA, RNA and epigenetic patterns
Genome analysis
"
717,Python for Genomic Data Science,Johns Hopkins University,1683,4.3,,
662,Practical Data Science with MATLAB Specialization,MathWorks,891,4.8,Beginner level,"Analyze large datasets & calculate statistics on specific groups in the data
Use interactive tools to investigate your data & remove noise and outliers
Create & evaluate machine learning models
Create reports & interactive documents to share your work
"
395,Fundamentals of Scalable Data Science,IBM,2051,4.3,Beginner level,
791,Statistics for Genomic Data Science,Johns Hopkins University,353,4.2,,
165,Command Line Tools for Genomic Data Science,Johns Hopkins University,541,4.0,,
753,SQL for Data Science Capstone Project,"University of California, Davis",219,4.2,Intermediate level,"Develop a project proposal and select your data
Perform descriptive statistics as part of your exploratory analysis
Develop metrics and perform advanced techniques in SQL
Present your findings and make recommendations
"
247,Data Science Fundamentals for Data Analysts,Databricks,53,4.2,Intermediate level,"Apply foundational data science concepts and techniques to solve these real-world problems. 
Design, execute, assess, and communicate the results of your very own data science projects.
"
208,Data Analysis with Python,IBM,17755,4.7,Beginner level,"Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning data
Perform exploratory data analysis and apply analytical techniques to real-word datasets using libraries such as Pandas, Numpy and Scipy
Manipulate data using dataframes, summarize data, understand data distribution, perform correlation and create data pipelines
Build and evaluate regression models using machine learning scikit-learn library and use them for prediction and decision making
"
774,Snowflake for Data Science: Intro to Snowpark ML for Python,Coursera Project Network,0,0.0,Intermediate level," Load data into Snowflake and setup Python workspace.
 Transform data using Snowpark ML API and build a preprocessing pipeline.
 Train an XGBoost model using the Snowpark ML Model API and deploy the model as a UDF for inference.
"
652,Pandas Python Library for Beginners in Data Science,Coursera Project Network,317,4.4,Beginner level,"Learn how to clean data using pandas.
Learn how to do basic data preprocessing.
Learn how to handle quantitative data (numeric data) and qualitative data (text data) with pandas.
"
493,Introduction to Clinical Data Science,University of Colorado System,392,4.5,Intermediate level,"Describe how each type of clinical data are generated, specifically outlining who creates the data, when and why the data are generated.
Write SQL code to combine two or more tables using database joins.
Write R code to manipulate and tidy data including: selecting columns, filtering rows, and joining data sets. 
Write markdown formatted text and combine with R code in RMarkdown documents.
"
502,Introduction to Data Science and scikit-learn in Python,LearnQuest,40,3.8,Beginner level,"Employ artificial intelligence techniques to test hypothesis in Python
Apply a machine learning model combining Numpy, Pandas, and Scikit-Learn
"
44,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,184,4.5,Advanced level,
45,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,93,4.5,Advanced level,
484,"Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",128,4.2,Intermediate level,"The knowledge and skills needed to work in the data science profession
How data science is used to solve business problems
The benefits of using the cross-industry standard process for data mining (CRISP-DM)
"
242,Data Science Capstone,Johns Hopkins University,1224,4.5,,"Create a useful data product for the public
Apply your exploratory data analysis skills
Build an efficient and accurate prediction model
Produce a presentation deck to showcase your findings
"
251,Data Science Project: MATLAB for the Real World,MathWorks,24,4.8,Intermediate level,"Apply a full data science workflow, including importing & cleaning data, creating features, training machine learning models, & evaluating results
Effectively communicate results by identifying your target audience & creating meaningful visualizations
Create a final report that includes text, code, & visualizations to share with colleagues
"
344,Ethical Issues in Data Science,University of Colorado Boulder,30,4.6,Beginner level,"Learners will be able to Identify and manage ethical situations that may arise in their careers.
Learnerrs will be able to apply ethical frameworks to help them analyze ethical challenges.
Learners will be familiar with key applications of data science that are commonly  linked to ethical issues.
"
715,"Python for Data Science, AI & Development",IBM,35369,4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. 
"
249,Data Science Methodology,IBM,19946,4.6,Beginner level,"Describe what a data science methodology is and why data scientists need a methodology.
Apply the six stages in the Cross-Industry Process for Data Mining (CRISP-DM) methodology to analyze a case study.
Evaluate which analytic model is appropriate among predictive, descriptive, and classification models used to analyze a case study.
Determine appropriate data sources for your data science analysis methodology.
"
33,Address Business Issues with Data Science,CertNexus,21,4.4,Intermediate level,
374,Finalize a Data Science Project,CertNexus,0,0.0,Intermediate level,"Communicate results of a model via web apps, and implement an d test pipelines that automate the model training, tuning and deployment process.   
"
661,Power BI for Data Science and Analytics,Edureka,0,0.0,Intermediate level,"Analyzing Data by using the AI analytical features offered by Power BI
"
168,Communicating Data Science Results,University of Washington,142,3.4,,
255,Data Science at Scale - Capstone Project,University of Washington,25,3.8,,
258,Data Science for Marketing Specialization,University of Colorado System,0,0.0,Intermediate level,"Apply data science techniques to optimize marketing strategies and increase customer engagement. 
"
445,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,Google Cloud,93,4.2,Intermediate level,
248,Data Science Fundamentals with Python and SQL Specialization,IBM,2650,4.6,Beginner level,"Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio
Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy
Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression
Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables
"
452,IBM & Darden Digital Strategy Specialization,University of Virginia Darden School Foundation,340,4.8,Beginner level,"Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. 
"
455,IBM AI Foundations for Business Specialization,IBM,1279,4.7,Beginner level,
202,Data Analysis and Visualization Foundations Specialization,IBM,2478,4.8,Beginner level,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis
Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining
List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards
"
7,AI Foundations for Everyone Specialization,IBM,2557,4.7,Beginner level,
701,Prompt Engineering Specialization,Vanderbilt University,923,4.9,Beginner level,
404,Generative AI for Data Analysts Specialization,IBM,29,4.9,Intermediate level,"Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.
Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.
Identify appropriate generative AI tools for data analytics.
Examine real-world applications where generative AI can enhance data analytics workflows.
"
24,AI in Healthcare Specialization,Stanford University,1422,4.7,Beginner level,"Identify problems healthcare providers face that machine learning can solve
Analyze how AI affects patient care safety, quality, and research
Relate AI to the science, practice, and business of medicine
Apply the building blocks of AI to help you innovate and understand emerging technologies  
"
702,Prompt Engineering for ChatGPT,Vanderbilt University,2543,4.8,Beginner level,"How to apply prompt engineering to effectively work with large language models, like ChatGPT
How to use prompt patterns to tap into powerful capabilities within large language models
How to create complex prompt-based applications for your life, business, or education
"
629,Natural Language Processing Specialization,DeepLearning.AI,5364,4.6,Intermediate level,"Use logistic regression, naïve Bayes, and word vectors to implement sentiment analysis, complete analogies & translate words.
Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.
Use recurrent neural networks, LSTMs, GRUs & Siamese networks in Trax for sentiment analysis, text generation & named entity recognition.
Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering.
"
79,Ask Questions to Make Data-Driven Decisions,Google,30448,4.7,Beginner level,"Explain how the problem-solving road map applies to typical analysis scenarios. 
Discuss the use of data in the decision-making process.
Demonstrate the use of spreadsheets to complete basic tasks of the data analyst including entering and organizing data.
Describe the key ideas associated with structured thinking.
"
640,Neural Networks and Deep Learning,DeepLearning.AI,120907,4.9,Intermediate level,
43,Advanced Learning Algorithms,DeepLearning.AI,5073,4.9,Beginner level,"Build and train a neural network with TensorFlow to perform multi-class classification
Apply best practices for machine learning development so that your models generalize to data and tasks in the real world
Build and use decision trees and tree ensemble methods, including random forests and boosted trees
"
460,IBM Introduction to Machine Learning Specialization,IBM,309,4.7,Intermediate level,"Understand the potential applications of machine learning
Gain technical skills like SQL, machine learning modelling, supervised and unsupervised learning, regression, and classification.
Identify opportunities to leverage machine learning in your organization or career
Communicate findings from your machine learning projects to experts and non-experts
"
681,Prepare Data for Exploration,Google,19054,4.8,Beginner level,"Explain what factors to consider when making decisions about data collection.
Discuss the difference between biased and unbiased data.
Describe databases with references to their functions and components.
Describe best practices for organizing data.
"
8,AI Product Management Specialization,Duke University,430,4.7,Beginner level,"Identify when and how machine learning can applied to solve problems
Apply human-centered design practices to design AI product experiences that protect privacy and meet ethical standards
Lead machine learning projects using the data science process and best practices from industry
"
487,Introduction to Artificial Intelligence (AI),IBM,12693,4.7,Beginner level,"Describe what is AI, its applications, use cases, and how it is transforming our lives
Explain terms like Machine Learning, Deep Learning and Neural Networks 
Describe several issues and ethical concerns surrounding AI
Articulate advice from experts about learning and starting a career in AI 
"
698,Process Data from Dirty to Clean,Google,14719,4.8,Beginner level,"Define different types of data integrity and identify risks to data integrity.
Apply basic SQL functions to clean string variables in a database.
Develop basic SQL queries for use on databases.
Describe the process of verifying data cleaning results.
"
22,AI for Medicine Specialization,DeepLearning.AI,2092,4.7,Intermediate level,"Diagnose diseases from x-rays and 3D MRI brain images
Predict patient survival rates more accurately using tree-based models
Estimate treatment effects on patients using data from randomized trials
Automate the task of labeling medical datasets using natural language processing
"
348,Executive Data Science Specialization,Johns Hopkins University,7154,4.5,Beginner level,"Become conversant in the field and understand your role as a leader.
Recruit, assemble, evaluate, and develop a team with complementary skill sets and roles.
Navigate the structure of the data science pipeline by understanding the goals of each stage and keeping your team on target throughout.
Overcome the common challenges that frequently derail data science projects.
"
